solx.02.dlnVp.invSAo**  225.75
  161.97   13.08  -0.5110E-04
  162.14   13.58  -0.7906E-04
  162.32   14.08  -0.2711E-03
  162.49   14.57  -0.2674E-03
  162.67   15.07   0.1790E-02
  162.84   15.57   0.4093E-02
  163.02   16.07   0.4709E-02
  163.20   16.57   0.3568E-02
  163.38   17.07   0.4506E-02
  163.56   17.57   0.2575E-02
  163.75   18.07  -0.3531E-02
  163.93   18.57  -0.3790E-02
  164.11   19.07  -0.1248E-02
  164.30   19.57   0.6297E-03
  164.49   20.07   0.2333E-02
  164.68   20.58   0.2773E-02
  164.87   21.08  -0.1090E-02
  165.06   21.58  -0.2596E-02
  165.26   22.09  -0.9980E-03
  165.45   22.59   0.2091E-03
  165.65   23.10   0.2229E-03
  165.85   23.61   0.2166E-04
  166.05   24.12  -0.1612E-04
  166.26   24.63  -0.3538E-05
  166.47   25.14   0.4326E-06
  166.68   25.65   0.1983E-06
  166.89   26.16   0.7291E-08
  167.10   26.68  -0.6013E-08
  167.32   27.20  -0.1603E-08
  167.54   27.71  -0.1727E-09
  167.76   28.23   0.5301E-08
  167.99   28.75   0.2878E-08
  168.21   29.28  -0.1928E-07
  168.45   29.80  -0.1911E-07
  168.68   30.33  -0.1826E-07
  168.92   30.85  -0.1818E-07
  169.16   31.38   0.2693E-07
  169.41   31.92   0.2126E-07
  169.66   32.45  -0.1514E-07
  169.92   32.98  -0.9680E-07
  170.17   33.52  -0.4130E-07
  170.44   34.06  -0.1130E-08
  170.71   34.60   0.9402E-09
  170.98   35.15   0.1502E-07
  171.26   35.69   0.9912E-08
  171.54   36.24   0.1392E-08
  171.83   36.79  -0.1481E-11
  172.13   37.34   0.3148E-09
  172.43   37.90   0.1838E-09
  172.73   38.46  -0.2911E-10
  173.05   39.02  -0.3116E-10
  173.37   39.58  -0.1401E-10
  173.70   40.14   0.3371E-11
  174.03   40.71  -0.1183E-10
  174.38   41.28  -0.5459E-09
  174.73   41.85  -0.5800E-10
  175.09   42.43   0.2832E-07
  175.46   43.00   0.5488E-07
  175.84   43.58  -0.1025E-05
  176.22   44.16  -0.3755E-05
  176.62   44.75   0.2269E-04
  177.03   45.34   0.1235E-03
  177.45   45.93  -0.2168E-03
  177.89   46.52  -0.1875E-02
  178.33   47.11  -0.5819E-03
  150.65  -21.81   0.3237E-03
  150.90  -21.18   0.2386E-03
  151.14  -20.55   0.3263E-04
  151.38  -19.92  -0.5389E-04
  151.62  -19.30  -0.3056E-04
  151.85  -18.68   0.1792E-05
  152.08  -18.06   0.3462E-05
  152.30  -17.45   0.1455E-06
  152.53  -16.84  -0.1658E-05
  152.75  -16.23  -0.3739E-05
  152.96  -15.63   0.1592E-04
